Variant 7
b
x0 = 1.7, y0 = 0.5
Simple iteration method
Fi1(x,y)=-sin(x - 1) + 1.3
Fi2(x,y)=sin(y + 1) + 0.8

Jacobian:
-cos(x - 1)  0
0            cos(y + 1)

Values:
 -0.764842   0.000000 
  0.000000   0.070737 
                               Error
  Itr |    x     |     y     | Estimate     |      F1    |      F2    | Jacobian norm 
   1  | 1.797495 |  0.655782 | 7.139943e-02 |  7.139e-02 |  1.104e-03 | 0.698502
   2  | 1.796391 |  0.584391 | 3.600391e-03 | -7.717e-04 | -3.517e-03 | 0.699291
   3  | 1.799908 |  0.585163 | 2.454812e-03 |  2.455e-03 |  1.079e-05 | 0.696773
   4  | 1.799897 |  0.582708 | 3.311781e-05 | -7.517e-06 | -3.225e-05 | 0.696781
   5  | 1.799929 |  0.582716 | 2.247337e-05 |  2.247e-05 |  8.957e-08 | 0.696758

Newton method

Derivatives matrix:
-cos(x - 1)  1
1            cos(y + 1)
                               Error
  Itr |    x     |     y     | Estimate     |      F1    |      F2    
   1  | 1.802945 |  0.577046 | 4.624702e-03 | -3.550e-03 |  2.965e-03
   2  | 1.799945 |  0.582679 | 1.619186e-05 | -3.234e-06 |  1.587e-05
   3  | 1.799929 |  0.582693 | 1.388444e-10 | -9.224e-11 |  1.038e-10

Newton method

Derivatives matrix:
-cos(x - 1)  1
1            cos(y + 1)

Alpha0 = 1 Lambda0 = 0.500

                               Error
  Itr |    x     |     y     | Estimate     |      F1    |      F2    |     FF    | k |   Alpha
   1  | 1.808322 |  0.574443 | 8.675273e-03 | -2.428e-03 |  8.329e-03 | 7.526e-05 | 2 | 0.250000
   2  | 1.795019 |  0.579238 | 8.477210e-03 | -6.885e-03 | -4.946e-03 | 7.186e-05 | 0 | 1.000000
   3  | 1.804786 |  0.586165 | 8.422083e-03 |  6.847e-03 |  4.904e-03 | 7.093e-05 | 1 | 0.500000
   4  | 1.795135 |  0.579242 | 8.339889e-03 | -6.799e-03 | -4.829e-03 | 6.955e-05 | 1 | 0.500000
   5  | 1.804725 |  0.586083 | 8.284967e-03 |  6.723e-03 |  4.842e-03 | 6.864e-05 | 1 | 0.500000
   6  | 1.795222 |  0.579286 | 8.204059e-03 | -6.695e-03 | -4.742e-03 | 6.731e-05 | 1 | 0.500000
   7  | 1.804651 |  0.586021 | 8.149683e-03 |  6.610e-03 |  4.767e-03 | 6.642e-05 | 1 | 0.500000
   8  | 1.795301 |  0.579339 | 8.070243e-03 | -6.587e-03 | -4.663e-03 | 6.513e-05 | 1 | 0.500000
   9  | 1.804575 |  0.585965 | 8.016522e-03 |  6.501e-03 |  4.690e-03 | 6.426e-05 | 1 | 0.500000
  10  | 1.795377 |  0.579393 | 7.938577e-03 | -6.480e-03 | -4.586e-03 | 6.302e-05 | 1 | 0.500000
  11  | 1.804499 |  0.585912 | 7.885537e-03 |  6.395e-03 |  4.613e-03 | 6.218e-05 | 1 | 0.500000
  12  | 1.795451 |  0.579447 | 7.809071e-03 | -6.374e-03 | -4.512e-03 | 6.098e-05 | 1 | 0.500000
  13  | 1.804424 |  0.585860 | 7.756714e-03 |  6.291e-03 |  4.537e-03 | 6.017e-05 | 1 | 0.500000
  14  | 1.795523 |  0.579500 | 7.681699e-03 | -6.270e-03 | -4.439e-03 | 5.901e-05 | 1 | 0.500000
  15  | 1.804350 |  0.585809 | 7.630021e-03 |  6.189e-03 |  4.463e-03 | 5.822e-05 | 1 | 0.500000
  16  | 1.795595 |  0.579553 | 7.556428e-03 | -6.167e-03 | -4.367e-03 | 5.710e-05 | 1 | 0.500000
  17  | 1.804278 |  0.585758 | 7.505424e-03 |  6.088e-03 |  4.390e-03 | 5.633e-05 | 1 | 0.500000
  18  | 1.795665 |  0.579605 | 7.433222e-03 | -6.066e-03 | -4.296e-03 | 5.525e-05 | 1 | 0.500000
  19  | 1.804206 |  0.585708 | 7.382886e-03 |  5.989e-03 |  4.318e-03 | 5.451e-05 | 1 | 0.500000
  20  | 1.795734 |  0.579655 | 7.312047e-03 | -5.967e-03 | -4.226e-03 | 5.347e-05 | 1 | 0.500000
  21  | 1.804136 |  0.585660 | 7.262374e-03 |  5.891e-03 |  4.247e-03 | 5.274e-05 | 1 | 0.500000
  22  | 1.795803 |  0.579705 | 7.192868e-03 | -5.869e-03 | -4.158e-03 | 5.174e-05 | 1 | 0.500000
  23  | 1.804067 |  0.585612 | 7.143851e-03 |  5.795e-03 |  4.177e-03 | 5.103e-05 | 1 | 0.500000
  24  | 1.795869 |  0.579754 | 7.075651e-03 | -5.773e-03 | -4.090e-03 | 5.006e-05 | 1 | 0.500000
  25  | 1.803999 |  0.585564 | 7.027285e-03 |  5.701e-03 |  4.108e-03 | 4.938e-05 | 1 | 0.500000
  26  | 1.795935 |  0.579803 | 6.960363e-03 | -5.679e-03 | -4.024e-03 | 4.845e-05 | 1 | 0.500000
